page_id	source_pdf	scan_page	kind	transcript_blocks	unresolved_items	review_level	editorial_note
01-001	ACU CRS MS5 - 01 - Finding Aid, George Douglas Papers 1830-1939.pdf	1	repository cover	8	0	initial_image_reading	
01-002	ACU CRS MS5 - 01 - Finding Aid, George Douglas Papers 1830-1939.pdf	2	printed finding aid	4	0	initial_image_reading	
01-003	ACU CRS MS5 - 01 - Finding Aid, George Douglas Papers 1830-1939.pdf	3	printed finding aid	11	0	initial_image_reading	
01-004	ACU CRS MS5 - 01 - Finding Aid, George Douglas Papers 1830-1939.pdf	4	printed finding aid	8	0	initial_image_reading	
01-005	ACU CRS MS5 - 01 - Finding Aid, George Douglas Papers 1830-1939.pdf	5	printed finding aid	6	0	initial_image_reading	
01-006	ACU CRS MS5 - 01 - Finding Aid, George Douglas Papers 1830-1939.pdf	6	printed finding aid	5	0	initial_image_reading	The repository describes folders 4–7 here; their manuscript scans are not included among the supplied PDFs.
02-001	ACU CRS MS5 - 02 - L. Douglas Sermon Notes, 16 Feb 1883.pdf	1	repository cover	6	0	initial_image_reading	
02-002	ACU CRS MS5 - 02 - L. Douglas Sermon Notes, 16 Feb 1883.pdf	2	identifying slip	1	0	initial_image_reading	The parenthetical question mark follows the initial in the identifying slip.
02-003	ACU CRS MS5 - 02 - L. Douglas Sermon Notes, 16 Feb 1883.pdf	3	manuscript	2	3	selected_passages_image_adjudicated_2026_09	First word and left edge of the second line are damaged. The terminal word is torn; it has not been completed from context. Text continues on scan page 4.
02-004	ACU CRS MS5 - 02 - L. Douglas Sermon Notes, 16 Feb 1883.pdf	4	manuscript	4	0	initial_image_reading	Continues the damaged sentence at the end of scan page 3. The final four lines are verse.
03-001	ACU CRS MS5 - 03 - Sylvana Church Endorsement for George Douglas, Sept 1888.pdf	1	repository cover	6	0	initial_image_reading	
03-002	ACU CRS MS5 - 03 - Sylvana Church Endorsement for George Douglas, Sept 1888.pdf	2	identifying slip	1	0	initial_image_reading	
03-003	ACU CRS MS5 - 03 - Sylvana Church Endorsement for George Douglas, Sept 1888.pdf	3	manuscript	1	0	initial_image_reading	Several letters fade at the right edge. Hyphenation in Gospel at the line break is joined. The final abbreviation is read as &c.
03-004	ACU CRS MS5 - 03 - Sylvana Church Endorsement for George Douglas, Sept 1888.pdf	4	document endorsement	1	0	initial_image_reading	The docket is faint; the title can be read across the folded sheet.
03-005	ACU CRS MS5 - 03 - Sylvana Church Endorsement for George Douglas, Sept 1888.pdf	5	manuscript	2	0	initial_image_reading	A brace groups the two names under Elders. The manuscript year reads 1888; the printed finding aid lists 1883.
04-001	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	1	repository cover	6	0	initial_image_reading	
04-002	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	2	manuscript	5	12	selected_passages_image_adjudicated_2026_09	The scan is upside down; read after rotation through 180 degrees. Fading affects many lines, especially the closing. The place after Alexandria and the signature need review. No destination is inferred from context.
04-003	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	3	address panel	2	1	initial_image_reading	The address block and carrier notation run at right angles. Read after rotation. The initial line of the regiment designation is faint.
04-004	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	4	manuscript	5	20	initial_image_reading	Friday Jan 29th 1864 is the reading of the heading. Extensive dark photocopy interference obscures words; the social comparison in the lower half particularly needs review. The text continues in the upper upright block of scan page 5.
04-005	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	manuscript	7	62	initial_image_reading	The top upright lines continue scan page 4. The large lower block contains the letter conclusion; the inverted strip across the top is a later addition. These blocks are kept separate. Heavy photocopy interference leaves substantial gaps and tentative readings.
04-006	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	6	manuscript	6	38	initial_image_reading	Continuation of the Henry Douglas letter on scans 4–7. The heavy reversed writing visible through the paper cannot always be separated from the face text. Several lines and marginal writing remain unread. The sequence of the letter appears to continue here from scan 7; scan order is retained for reference.
04-007	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	7	manuscript	2	18	initial_image_reading	Continuation of the Henry Douglas letter on scans 4–7. Reversed show-through and dark folds obscure some words. The first line appears to continue the upper text block of scan 5; the final sentence continues on scan 6.
