item	page_id	paragraph_id	source_pdf	scan_page	category	annotation	context	proposed_correction	reviewer_and_date	evidence
02-003-U002	02-003	02-003-P01	ACU CRS MS5 - 02 - L. Douglas Sermon Notes, 16 Feb 1883.pdf	3	loss	[[lost: left edge]]	Of all the thoughts enclosed in the language of Inspiration [[lost: left edge]] its laws its precepts its promises what is there that conveys mo		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. Text lost at the left edge; both editions record damage; no reconstruction possible from context.
02-003-U003	02-003	02-003-P02	ACU CRS MS5 - 02 - L. Douglas Sermon Notes, 16 Feb 1883.pdf	3	tentative reading	[[greatness?]]	"s of men there were none born greater than Jesus."" His goodness, [[greatness?]], his omnipotent power, we cannot doubt. We stand in awe as we co"	greatness	2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Suggested reading, marker kept (moderate confidence). Triad 'His goodness, greatness, his omnipotent power'; family reading edition (independent image reading, editions/family/Plain-text) reads 'his greatness'.
02-003-U004	02-003	02-003-P02	ACU CRS MS5 - 02 - L. Douglas Sermon Notes, 16 Feb 1883.pdf	3	loss	[[lost: torn edge]]	 by the sorrows and Suffering of our frail humanity: that Sympath[[lost: torn edge]]	Sympath[y]	2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Suggested reading, marker kept (moderate confidence). Completion of the torn word only; the sentence resumes on the next leaf 'the power to make e'en the wretched blessed had its abode in His breast'. Any connecting words remain lost.
04-002-U001	04-002	04-002-P03	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	2	unread writing	[[illegible]]	h & fine spirits. Our Regt left Alexandria La Yesterday week for [[illegible]]. I was detailed to go down on Red River & join the Command at [[		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. Destination after 'Alexandria La Yesterday week for'; family reading edition (independent image reading, editions/family/Plain-text) also unable to read it.
04-002-U002	04-002	04-002-P03	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	2	tentative reading	[[Walkers?]]	]]. I was detailed to go down on Red River & join the Command at [[Walkers?]] Bend - but it has not passed I expect them Every [[illegible]] T	Conflicting independent readings: Walker's Bend	2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Marker kept. family reading edition (independent image reading, editions/family/Plain-text) also reads '[Walker's Bend?]'; two tentative readings agree but neither is secure. Place on Red River, La.
04-002-U003	04-002	04-002-P03	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	2	unread writing	[[illegible]]	at [[Walkers?]] Bend - but it has not passed I expect them Every [[illegible]] The Sabine laying up - I cant leave - Our field & [[illegible]] 		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-002-U004	04-002	04-002-P03	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	2	unread writing	[[illegible]]	 [[illegible]] The Sabine laying up - I cant leave - Our field & [[illegible]] yet.		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-002-U005	04-002	04-002-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	2	unread writing	[[illegible]]	All at home to Eliza & family - also [[illegible]] well on [[illegible]] furlough I suppose you have heard of the d		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-002-U006	04-002	04-002-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	2	unread writing	[[illegible]]	All at home to Eliza & family - also [[illegible]] well on [[illegible]] furlough I suppose you have heard of the death of Uncle Alfred h		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-002-U008	04-002	04-002-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	2	unread writing	[[illegible]]	m a wound Recd on the 18th of May - The Gentleman awaits on me & [[illegible]] you a too bad [[illegible]]. Please write to me all the news imm		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
