page_id	source_pdf	source_scan_page	edition_volume	edition_pdf	entry_start_pdf_page
07-001	George Douglas Papers Folder 4- Correspondence.pdf	1	V	05-Folder-4.pdf	4
07-002	George Douglas Papers Folder 4- Correspondence.pdf	2	V	05-Folder-4.pdf	4
07-003	George Douglas Papers Folder 4- Correspondence.pdf	3	V	05-Folder-4.pdf	4
07-004	George Douglas Papers Folder 4- Correspondence.pdf	4	V	05-Folder-4.pdf	4
07-005	George Douglas Papers Folder 4- Correspondence.pdf	5	V	05-Folder-4.pdf	5
07-006	George Douglas Papers Folder 4- Correspondence.pdf	6	V	05-Folder-4.pdf	5
07-007	George Douglas Papers Folder 4- Correspondence.pdf	7	V	05-Folder-4.pdf	6
07-008	George Douglas Papers Folder 4- Correspondence.pdf	8	V	05-Folder-4.pdf	6
07-009	George Douglas Papers Folder 4- Correspondence.pdf	9	V	05-Folder-4.pdf	6
07-010	George Douglas Papers Folder 4- Correspondence.pdf	10	V	05-Folder-4.pdf	7
07-011	George Douglas Papers Folder 4- Correspondence.pdf	11	V	05-Folder-4.pdf	7
07-012	George Douglas Papers Folder 4- Correspondence.pdf	12	V	05-Folder-4.pdf	7
07-013	George Douglas Papers Folder 4- Correspondence.pdf	13	V	05-Folder-4.pdf	8
07-014	George Douglas Papers Folder 4- Correspondence.pdf	14	V	05-Folder-4.pdf	8
07-015	George Douglas Papers Folder 4- Correspondence.pdf	15	V	05-Folder-4.pdf	8
07-016	George Douglas Papers Folder 4- Correspondence.pdf	16	V	05-Folder-4.pdf	9
07-017	George Douglas Papers Folder 4- Correspondence.pdf	17	V	05-Folder-4.pdf	9
07-018	George Douglas Papers Folder 4- Correspondence.pdf	18	V	05-Folder-4.pdf	10
07-019	George Douglas Papers Folder 4- Correspondence.pdf	19	V	05-Folder-4.pdf	10
07-020	George Douglas Papers Folder 4- Correspondence.pdf	20	V	05-Folder-4.pdf	10
07-021	George Douglas Papers Folder 4- Correspondence.pdf	21	V	05-Folder-4.pdf	11
07-022	George Douglas Papers Folder 4- Correspondence.pdf	22	V	05-Folder-4.pdf	11
07-023	George Douglas Papers Folder 4- Correspondence.pdf	23	V	05-Folder-4.pdf	11
07-024	George Douglas Papers Folder 4- Correspondence.pdf	24	V	05-Folder-4.pdf	11
07-025	George Douglas Papers Folder 4- Correspondence.pdf	25	V	05-Folder-4.pdf	12
07-026	George Douglas Papers Folder 4- Correspondence.pdf	26	V	05-Folder-4.pdf	12
07-027	George Douglas Papers Folder 4- Correspondence.pdf	27	V	05-Folder-4.pdf	13
07-028	George Douglas Papers Folder 4- Correspondence.pdf	28	V	05-Folder-4.pdf	13
07-029	George Douglas Papers Folder 4- Correspondence.pdf	29	V	05-Folder-4.pdf	13
07-030	George Douglas Papers Folder 4- Correspondence.pdf	30	V	05-Folder-4.pdf	14
07-031	George Douglas Papers Folder 4- Correspondence.pdf	31	V	05-Folder-4.pdf	14
07-032	George Douglas Papers Folder 4- Correspondence.pdf	32	V	05-Folder-4.pdf	14
07-033	George Douglas Papers Folder 4- Correspondence.pdf	33	V	05-Folder-4.pdf	15
07-034	George Douglas Papers Folder 4- Correspondence.pdf	34	V	05-Folder-4.pdf	16
07-035	George Douglas Papers Folder 4- Correspondence.pdf	35	V	05-Folder-4.pdf	16
07-036	George Douglas Papers Folder 4- Correspondence.pdf	36	V	05-Folder-4.pdf	16
07-037	George Douglas Papers Folder 4- Correspondence.pdf	37	V	05-Folder-4.pdf	17
07-038	George Douglas Papers Folder 4- Correspondence.pdf	38	V	05-Folder-4.pdf	17
07-039	George Douglas Papers Folder 4- Correspondence.pdf	39	V	05-Folder-4.pdf	18
07-040	George Douglas Papers Folder 4- Correspondence.pdf	40	V	05-Folder-4.pdf	18
07-041	George Douglas Papers Folder 4- Correspondence.pdf	41	V	05-Folder-4.pdf	19
