category,subject,statement,date_as_written,date_iso,citation,verbatim_quotation
event,Collection,Collection title and dates as catalogued,1830-1939,1830/1939,01-002-P01,"George Douglas Papers, (1830-1939)"
event,Collection,"Scope note lists a Civil War journal on Sabine Pass, a land grant certificate from the governor, two photos, N. L. Douglas's day book from 1830, loan/legal papers, family letters",,,01-003-P09,"Photocopies of documents belonging to George Douglas, including a Civil War journal describing the battle of Sabine Pass, Texas, a land grant certificate from the governor of Texas, and two photos of Douglas. Includes photocopies of the day book of Nathaniel Lynn Douglas, beginning in 1830, loan and legal papers for the Douglas family, and correspondence between Douglas family members."
event,George Douglas,Repository biographical note,,,01-003-P10,George Douglas served in the Confederate Army during the Civil War.
event,Collection,Accession,18 May 2007,2007-05-18,01-003-P11,"Accession Number: R 2007.45 / Date of Accession: 18 May 2007 / Accessioned by: David Sessions, Julia Reid"
person,David Sessions; Julia Reid; Audrey Schaffner; Mac Ice; Amanda Dietz,"ACU staff who accessioned, processed and described the collection",2007-2019,2007/2019,01-003-P11,"Processor and Date of Processing: David Sessions, Julia Reid, and Audrey Schaffner, 29 January 2014 / Finding Aid Creator and Date: Audrey Schaffner and Mac Ice, 30 January 2014 / Finding Aid Update: Mac Ice and Amanda Dietz, 16 January 2019"
event,Collection,Arrangement in seven folders,,,01-004-P06,Arranged in seven folders numerically.
person,Finding-aid subject names,Names indexed by the repository (spellings as printed),,,01-004-P08; 01-005-P01,"Alexander, Rebecca / Bass, James / Bell, Emma / Bell, George / Bell, J. M. / Bell, J. N. / Bell, Sue / Douglas, Emily / Douglas, Gail / Douglas, George / Douglas, Henry / Douglas, Jess / Douglas, Laura / Douglas, Lizzie / Douglas, Mary / Douglas, N. L. / Douglas, Sarah / Douglas, Warren / Goodloe, L. Columbia / Goodloe, M. E. / Goodloe, Rebecca / Graves, Lizzie / Headrick, Sarah / Jettson, L. A. / Jettson, L. H. / Jettson, Maybel / Orr, J. D. / Stevenson, Miriam / Winneford, N. B. / Winneford, Rebecca"
event,Folder 1,Contents per finding aid,1939,1939,01-005-P04,"Folder 1 - Correspondence, Loan Papers / Copies of numerous correspondence within the Douglas family / Copies of loan papers from 1939"
event,Folders 2 and 3,"Contents per finding aid (deeds 1887, 1891; letters listed)",1864-1891,1864/1891,01-005-P05,"Land deed from 1887 / Warranty deed from 1891 / To Lizzie Douglas from L. A. Jettson (March 20, 1883, March 3, 1878, Feb. 1, 1874) ..."
event,Folders 2 and 3,"Legal papers listed, including 1874 inventory and Rebecca Alexander inheritance",1874,1874,01-005-P06,"Various legal papers, including promissory notes, warranty deeds, power of attorney papers, inventory of N. L. Douglas' land (1874), tax documents, and correspondence about the inheritance of Rebecca Alexander"
event,George Douglas,Poem dated 1867; letters mentioning George's death in 1923,1867; 1923,1867; 1923,01-006-P01,Poem by George Douglas (1867) and various other poems ... one mentions George's death in 1923
event,Sylvana Church,Finding aid dates the endorsement 1883 (the document reads 1888),1883,1883,01-006-P01,Endorsement from congregation at Sylvana Church for George Douglas in 1883 / Sermon notes of L. Douglas in 1883
